trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,7,-87.09872882750375,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",35,0,-96.90333890927377,"{0: 23, 1: 3, 2: 7, 3: 2, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,16,-0.24040838523118135,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,3,-32.91119533890186,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-66.24449699542933,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,15,-12.830361071111646,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,13,-59.04715584992625,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,0,-144.6941895807953,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,12,-7.385393468097135,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-109.80115544828294,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-85.90987689453493,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-135.38552780105516,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",30,0,-200.67573203966285,"{0: 18, 1: 2, 2: 3, 3: 5, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,2,-42.250054220686756,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-103.80629373305119,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-61.301422419824405,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-121.61916156783803,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-131.99030796297018,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,2,-8.254075458153174,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-51.79713649126942,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-69.42316541170086,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-117.91532753715006,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-31.897296199541074,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-109.925532189732,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-75.09989534020133,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,8,-79.1890161430315,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",30,0,-123.5511198370445,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,10,-62.07925954617576,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-111.95922906102871,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-85.61619007184498,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-66.45169322841522,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-28.253693620991037,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",30,0,-179.12390055594807,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
